,radius_lower,radius_upper,period_lower,period_upper,occurrence,+sigma,-sigma
0,0.5,0.75,0.5,1.0,0.0025,0.0026,-0.0017
1,0.75,1.0,0.5,1.0,0.0027,0.0008,-0.00092
2,1.0,1.25,0.5,1.0,0.0017,0.0012,-0.0011
3,1.25,1.5,0.5,1.0,0.00157,0.00074,-0.00069
4,1.5,1.75,0.5,1.0,0.00083,0.0006,-0.00053
5,1.75,2.0,0.5,1.0,0.00027,0.00026,-0.00019
6,2.0,2.5,0.5,1.0,0.0003149887079519,0.000215011292048,-0.000215011292048
7,2.5,3.0,0.5,1.0,0.0003447046237965,0.0002352953762034,-0.0002352953762034
8,3.0,4.0,0.5,1.0,0.0003863069059788,0.0002636930940211,-0.0002636930940211
9,4.0,6.0,0.5,1.0,0.00029,0.00014,-0.0002
10,6.0,8.0,0.5,1.0,0.0001426363960537,9.736360394627364e-05,-9.736360394627364e-05
11,8.0,12.0,0.5,1.0,0.0001782954950671,0.0001217045049328,-0.0001217045049328
12,12.0,16.0,0.5,1.0,0.0001129204802092,7.707951979079996e-05,-7.707951979079996e-05
13,0.5,0.75,1.0,2.0,0.0026,0.0014,-0.0017
14,0.75,1.0,1.0,2.0,0.0029,0.0016,-0.0011
15,1.0,1.25,1.0,2.0,0.00103,0.00096,-0.00068
16,1.25,1.5,1.0,2.0,0.0022,0.002,-0.0013
17,1.5,1.75,1.0,2.0,0.0009699999999999,0.00067,-0.00083
18,1.75,2.0,1.0,2.0,0.00064,0.00049,-0.00033
19,2.0,2.5,1.0,2.0,0.0002299999999999,0.00024,-0.00015
20,2.5,3.0,1.0,2.0,0.00027,0.00036,-0.00021
21,3.0,4.0,1.0,2.0,0.000249613693094,0.0001703863069059,-0.0001703863069059
22,4.0,6.0,1.0,2.0,0.0002317841435873,0.0001582158564126,-0.0001582158564126
23,6.0,8.0,1.0,2.0,8.9147747533579e-05,6.085225246642101e-05,-6.085225246642101e-05
24,8.0,12.0,1.0,2.0,0.00025,0.00027,-0.0001
25,12.0,16.0,1.0,2.0,0.00041,0.00069,-0.00012
26,0.5,0.75,2.0,4.0,0.0265,0.0086,-0.0077
27,0.75,1.0,2.0,4.0,0.012,0.0015,-0.0045
28,1.0,1.25,2.0,4.0,0.0025,0.0019,-0.0013
